old_url,match_type,matched_fern_file,matched_slug,new_slug,confidence,match_method,notes
/compatibility-api/cxml/voice/conference-noun,uncertain,compatibility-api/pages/cxml/voice/conference-noun.mdx,cxml/voice/conference,/reference/cxml/voice/conference,0.561,body=0.451 fname=1.000,
/compatibility-api/cxml/voice/connect,slug_changed,compatibility-api/pages/cxml/voice/connect.mdx,cxml/voice/connect,/reference/cxml/voice/connect,0.878,body=0.847 fname=1.000,
/compatibility-api/cxml/voice/denoise,slug_changed,compatibility-api/pages/cxml/voice/denoise.mdx,cxml/voice/denoise,/reference/cxml/voice/denoise,0.987,body=0.984 fname=1.000,
/compatibility-api/cxml/voice/dial,uncertain,compatibility-api/pages/cxml/voice/dial.mdx,cxml/voice/dial,/reference/cxml/voice/dial,0.578,body=0.472 fname=1.000,
/compatibility-api/cxml/voice/echo,uncertain,compatibility-api/pages/cxml/voice/echo.mdx,cxml/voice/echo,/reference/cxml/voice/echo,0.656,body=0.570 fname=1.000,
/compatibility-api/cxml/voice/enqueue,uncertain,compatibility-api/pages/cxml/voice/enqueue.mdx,cxml/voice/enqueue,/reference/cxml/voice/enqueue,0.477,body=0.346 fname=1.000,
/compatibility-api/cxml/voice/gather,slug_changed,compatibility-api/pages/cxml/voice/gather.mdx,cxml/voice/gather,/reference/cxml/voice/gather,0.740,body=0.675 fname=1.000,
/compatibility-api/cxml/voice/hangup,slug_changed,compatibility-api/pages/cxml/voice/hangup.mdx,cxml/voice/hangup,/reference/cxml/voice/hangup,0.953,body=0.941 fname=1.000,
/compatibility-api/cxml/voice/leave,slug_changed,compatibility-api/pages/cxml/voice/leave.mdx,cxml/voice/leave,/reference/cxml/voice/leave,0.957,body=0.947 fname=1.000,
/compatibility-api/cxml/voice/number-noun,uncertain,compatibility-api/pages/cxml/voice/number-noun.mdx,cxml/voice/number,/reference/cxml/voice/number,0.559,body=0.448 fname=1.000,
/compatibility-api/cxml/voice/pause,slug_changed,compatibility-api/pages/cxml/voice/pause.mdx,cxml/voice/pause,/reference/cxml/voice/pause,0.906,body=0.883 fname=1.000,
/compatibility-api/cxml/voice/pay,uncertain,compatibility-api/pages/cxml/voice/pay/index.mdx,cxml/voice/pay,/reference/cxml/voice/pay,0.694,body=0.617 fname=1.000,
/compatibility-api/cxml/voice/pay/parameter,slug_changed,compatibility-api/pages/cxml/voice/pay/parameter.mdx,cxml/voice/pay/parameter,/reference/cxml/voice/pay/parameter,0.986,body=0.983 fname=1.000,
/compatibility-api/cxml/voice/pay/prompt,slug_changed,compatibility-api/pages/cxml/voice/pay/prompt.mdx,cxml/voice/pay/prompt,/reference/cxml/voice/pay/prompt,0.776,body=0.720 fname=1.000,
