old slug (from Docusaurus sitemap),currrent slug,NOTE
/rest/signalwire-rest/endpoints/space/create-brand,/apis/relay-rest/campaign-registry/create-brand,
/rest/signalwire-rest/endpoints/space/create-campaign,/apis/relay-rest/campaign-registry/create-campaign,
/rest/signalwire-rest/endpoints/space/create-domain-application,/apis/relay-rest/domain-applications/create-domain-application,
/rest/signalwire-rest/endpoints/space/create-imported-phone-number,/apis/relay-rest/imported-phone-numbers/create-imported-phone-number,
/rest/signalwire-rest/endpoints/space/create-number-group,/apis/relay-rest/number-groups/create-number-group,
/rest/signalwire-rest/endpoints/space/create-number-group-membership,/apis/relay-rest/number-group-membership/create-number-group-membership,
/rest/signalwire-rest/endpoints/space/create-order,/apis/relay-rest/campaign-registry/create-order,
/rest/signalwire-rest/endpoints/space/create-sip-endpoint,/apis/fabric/sip-endpoints/create-sip-endpoint,
/rest/signalwire-rest/endpoints/space/create-verified-caller-id,/apis/relay-rest/verified-caller-id/create-verified-caller-id,
/rest/signalwire-rest/endpoints/space/delete-a-queue,/apis/relay-rest/queues/delete-queue,
/rest/signalwire-rest/endpoints/space/delete-address,/apis/relay-rest/addresses/delete-address,
/rest/signalwire-rest/endpoints/space/delete-domain-application,/apis/relay-rest/domain-applications/delete-domain-application,
/rest/signalwire-rest/endpoints/space/delete-number-assignment,/apis/relay-rest/campaign-registry/delete-number-assignment,
/rest/signalwire-rest/endpoints/space/delete-number-group,/apis/relay-rest/number-groups/delete-number-group,
/rest/signalwire-rest/endpoints/space/delete-number-group-membership,/apis/relay-rest/number-group-membership/delete-number-group-membership,
/rest/signalwire-rest/endpoints/space/delete-sip-endpoint,/apis/relay-rest/sip-endpoints/delete-sip-endpoint,
/rest/signalwire-rest/endpoints/space/delete-verified-caller-id,/apis/relay-rest/verified-caller-id/delete-verified-caller-id,
/rest/signalwire-rest/endpoints/space/domain-applications,,
/rest/signalwire-rest/endpoints/space/get-address,/apis/relay-rest/addresses/get-address,
/rest/signalwire-rest/endpoints/space/imported-phone-numbers,,
/rest/signalwire-rest/endpoints/space/list-addresses,/apis/relay-rest/addresses/list-addresses,
/rest/signalwire-rest/endpoints/space/list-brands,/apis/relay-rest/campaign-registry/list-brands,
/rest/signalwire-rest/endpoints/space/list-campaigns,/apis/relay-rest/campaign-registry/list-campaigns,
/rest/signalwire-rest/endpoints/space/list-domain-applications,/apis/relay-rest/domain-applications/list-domain-applications,
